Title,main_category,category,date,description
naloxone,Medical,Medical,2023-10-08,behaviour seen mononeuropathic rat modulated morphine naloxone study investigated sensitivity pharmacological manipulation rating method adapted formalin test measure tonic component behaviour induced creating peripheral mononeuropathy loose ligature around common sciatic nerve although adequacy opioid substance alleviating neuropathic pain highly controversial effect morphine naloxone tested week nerve ligature established behaviour well developed morphine induced potent prolonged decrease score week surgery either week week naloxone elicited bidirectional action increase score high dose paradoxical decrease score low dose effect comparable already described several rat model inflammatory pain model neuropathy using phasic nociceptive test measure vocalization paw pressure difference effect naloxone tonic phasic pain noted discussed
arterial,Medical,Medical,2023-10-08,examination cardiorespiratory change upper gastrointestinal endoscopy comparison monitoring arterial oxygen saturation arterial pressure electrocardiogram critical event including hypoxaemia arrhythmia myocardial ischaemia may occur frequently endoscopic procedure anaesthesia study undertaken as cardiovascular change evaluate suitable monitoring technique detect critical event sedation endoscopy twenty patient scheduled undergo prolonged endoscopic procedure required deep sedation studied continuous recording electrocardiogram heart rate arterial oxygen saturation made arterial pressure recorded interval study commenced immediately administration sedative continued duration examination one hour following examination oxygen saturation decreased patient examination mean sd remained baseline duration examination recovery period statistically significant increase reduction systolic arterial pressure product found procedure compared baseline value recorded administration sedative sixteen patient developed tachycardia examination ten patient developed ectopic focus supraventricular ventricular origin electrocardiogram change resolved recovery period myocardial ischaemia assessed segment depression significant correlation found segment depression hypoxaemia although magnitude depression small may detected clinically correlation found segment depression arterial pressure heart rate product
group,Medical,Medical,2023-10-08,hepatic transmethylation blood alcohol level golden syrian hamster elevated hepatic alcohol dehydrogenase activity divided four group four different liquid diet five week group fed control diet formulated hamster group ii fed control diet containing microgram methylpyrazole per litre group iii fed hamster ethanol liquid diet ethanol amounting total calorie group iv fed ethanol diet added group ii iii amount consumed group iv daily basis upon killing animal blood alcohol level found elevated group iv group iii hepatic methionine synthetase inhibited group iv methyltransferase induced group compensate inhibition liver betaine lowered reflecting induction none change seen group iii since none animal showed aversion respective diet gained weight normally data indicate elevated blood level ethanol rather nutritional factor related change methionine metabolism
cell,Medical,Medical,2023-10-08,memory cell represent predominant lymphocyte subset acute chronic liver inflammation cell divided two main phenotypic naive subset memory subset light recent functional reinterpretation subpopulation reinvestigated composition inflammatory infiltrate liver biopsy specimen patient acute chronic hepatitis normal liver scattered mononuclear cell present portal tract intralobular parenchyma consisted naive memory cell inflammatory liver disease portal tract periportal intralobular area inflammation consisted virtually memory cell strongly expressed antigen adhesion molecule activation marker human leukocyte result indicate activated memory cell represent predominant subpopulation lymphocyte area liver inflammation memory cell strongly express various homing receptor adhesion molecule probably allow accumulate inflammatory site strengthen interaction target cell furthermore increased number memory cell enhanced production area liver inflammation may contribute maintenance immune response occurring inflammatory liver disease
change,Medical,Medical,2023-10-08,inflammatory property human skin electronmicroscopic study purified homogeneity human peripheral blood monocyte injected intracutaneously human skin sequential biopsy specimen taken order investigate sequence ultrastructural change induced cytokine whereas intracutaneous injection ng per site caused macroscopic change histology infiltration polymorphonuclear leukocyte pmn monocyte present within h increased lymphocyte infiltration noted first ultrastructural change min consisted presence cytoplasmic microfilament bundle well numerous protrusion luminal plasma membrane endothelial cell ec striking feature multiple electron lucent vesicle could observed ec cytoplasm structure differed plasmalemmal vesicle suggest secretory activity pmn monocyte appeared vascular lumen h later number vesicle decreased significantly contrast skin site mast cell degranulation absent
chest,Medical,Medical,2023-10-08,bronchogenic carcinoma chest wall invasion bronchogenic carcinoma chest wall involvement continues present major clinical challenge treated patient since excluding superior sulcus tumor male female patient average age year chest pain initial symptom patient negative mediastinoscopy result squamous cell carcinoma present adenocarcinoma median number rib resected two range one six patient required chest wall reconstruction pathologic staging operative mortality absolute survival patient disease survival radiation therapy employed positive node close margin bronchogenic carcinoma chest wall invasion remains potentially curable node involved role radiation therapy clearly defined morbidity mortality minimal
safety,Medical,Medical,2023-10-08,electronic weaponry question safety published erratum appears ann emerg med sep electronic weapon represent new class weapon available law enforcement lay public although weapon available several year inadequate research document safety efficacy two common taser stun gun reviewed electronic weapon initially still approved u consumer product safety commission approval based theoretical calculation physical effect damped sinusoidal pulse basis animal human study device widely available heavily promoted despite limited research safety efficiency despite recent animal study documenting potential lethality
tumor,Medical,Medical,2023-10-08,operative management acoustic neuroma priority neurologic function complete resection objective surgical management acoustic tumor remove entirely preserve facial nerve function hearing possible dilemma arises possible remove entire tumor without incurring additional neurologic deficit twenty patient underwent intentional incomplete surgical removal acoustic neuroma avoid neurologic deficit retrospectively reviewed divided subtotal group resection le tumor group resection tumor followed yearly either computed tomography magnetic resonance imaging subtotal group planned consisted elderly patient mean age year large tumor mean cm group consisted younger patient mean age year smaller tumor mean cm mean length followup patient year ninety percent patient house grade ii facial function radiologically detectable tumor regrowth occurred one patient subtotal resection group resection acoustic tumor associated radiologic evidence regrowth tumor period observation within limit period study subtotal resection acoustic neuroma elderly patient associated clinically significant recurrence patient produced highly satisfactory rate facial preservation low surgical morbidity
terfenadine,Medical,Medical,2023-10-08,torsades de pointes occurring association terfenadine use torsades de pointes form polymorphic ventricular tachycardia associated prolongation qt interval although found many clinical setting torsades de pointes often drug induced report describes first association exclusive drug overdose symptomatic torsades de pointes occurring use terfenadine patient taking recommended prescribed dose drug addition cefaclor ketoconazole medroxyprogesterone measured serum concentration terfenadine main metabolite showed excessive level parent terfenadine proportionately reduced concentration metabolite suggesting inhibition terfenadine metabolism believe drug interaction terfenadine ketoconazole resulted elevated terfenadine level plasma cardiotoxicity previously seen case terfenadine overdose
stenosis,Medical,Medical,2023-10-08,asymptomatic celiac superior mesenteric artery stenosis prevalent among patient unsuspected renal artery stenosis prevalence unsuspected renal artery stenosis among patient peripheral vascular disease reported high prevalence asymptomatic celiac superior mesenteric artery stenosis patient known biplane aortograms male patient military veteran aneurysm occlusive disease independently reviewed medical record studied determine associated coronary disease risk factor patient outcome patient greater stenosis celiac superior mesenteric artery seven patient significant stenosis mesenteric artery patient celiac superior mesenteric artery stenosis older p higher prevalence hypertension p without significant mesenteric stenosis fifty patient significant renal artery stenosis advanced greater diameter loss renal stenosis ten patient advanced renal stenosis concomitant celiac artery stenosis compared patient advanced renal stenosis p present study asymptomatic celiac superior mesenteric artery stenosis common among male veteran evaluated peripheral vascular disease prevalence significant stenosis celiac superior mesenteric artery low prevalence significant celiac stenosis higher patient advanced greater renal artery stenosis might considered prophylactic renal revascularization lateral aortography evaluation celiac artery always appropriate patient
patient,Medical,Medical,2023-10-08,auditory evoked response patient acoustic neurinoma auditory evoked response baer recorded patient acoustic neurinoma analyzed ten patient intracanalicular tumor extracanalicular tumor possible obtain baer following stimulation affected side patient stimulation unaffected side five patient normal baer following stimulation side three patient intracanalicular tumor among baer obtained following stimulation affected ear mean interpeak latency ipl peak iii associated extracanalicular tumor significantly prolonged relative control p le linear regression analysis revealed significant positive correlation tumor size ipl peak iii p le analysis baer recorded stimulation unaffected side revealed significant positive correlation ipl peak iii v tumor size p le correlation strengthened accounting degree compression finally evidence preserved function within auditory pathway even presence partial hearing loss presented finding suggests patient might benefit surgical procedure spare eighth cranial nerve
mouse,Medical,Medical,2023-10-08,first heterotransplantation human carcinoid tumor nude mouse first successful heterotransplantation human carcinoid tumor nude mouse reported csh voluminous hepatic metastasis primary bronchial carcinoid tumor csb resected transplanted three irradiated nude mouse subcutaneous sc intramuscular im route success rate five six heterotransplanted tumor took month appear mouse month attain width cm human mouse tumor named studied light electron microscopy immunocytochemistry furthermore cell presented characteristic neurosecretory granule although csb csh slightly serotonin positive immunocytochemistry cell found none suggesting partial loss differentiation increase serotonin catabolism transplantation
saecg,Medical,Medical,2023-10-08,prospective evaluation immediate reproducibility ecg purpose investigation prospectively evaluate immediate reproducibility electrocardiogram saecg total patient undergoing evaluation ventricular arrhythmia enrolled protocol two consecutive saecg hz bidirectional filtering system performed minute apart abnormal saecg parameter defined vector qrs duration msec terminal root mean square rms voltage le microv signal la duration msec saecg defined abnormal least one vector parameter abnormal close correlation vector parameter two saecg observation qrs duration highest reproducibility p le followed terminal rms voltage p le la duration p le mean sd percentage change two recording qrs duration terminal rms voltage la duration reproducibility initially normal saecg initially abnormal saecg seventeen patient change one three vector parameter two recording clinically significant difference patient saecg nonreproducible patient saecg reproducible however reproducibility significantly higher patient initially normal versus initially abnormal saecg v p
concentration,Medical,Medical,2023-10-08,hypertension lipoprotein apolipoprotein risk factor stroke chinese analyzed serum concentration lipid lipoprotein prevalence risk factor study consecutive chinese patient acute stroke classified cerebral infarction lacunar infarction intracerebral hemorrhage control stroke identified following risk factor history ischemic heart disease diabetes mellitus hypertension presence atrial fibrillation left ventricular hypertrophy glycosylated hemoglobin concentration greater fasting plasma glucose concentration month stroke greater serum triglyceride concentration month stroke greater serum lipoprotein concentration greater found following protective factor serum high density concentration greater serum apolipoprotein concentration greater equal pattern risk factor differed among three stroke subtypes significant risk factor entered multiple logistic regression model found history hypertension high serum lipoprotein concentration low apolipoprotein concentration independent risk factor stroke attributable risk hypertension estimated patient aged greater equal year population cerebrovascular disease third commonest cause mortality identification risk factor allow study risk factor modification prevention stroke
air,Medical,Medical,2023-10-08,prevalence air bronchograms small peripheral carcinoma lung ct comparison benign tumor despite improved technique bronchoscopy percutaneous needle biopsy evaluate pulmonary nodule still many case surgical resection necessary carcinoma differentiated benign lesion present study undertaken determine presence air bronchogram air bronchiologram patent visible bronchus bronchiole useful distinguishing small lung cancer benign nodule chest ct scan obtained patient peripheral lung cancer le cm diameter adenocarcinoma one squamous cell carcinoma one large cell carcinoma small benign nodule eight hamartoma seven tuberculomas two focus aspergillosis one focus cryptococcosis one chronic focal interstitial pneumonitis one plasma cell granuloma image compared regard patency bronchus bronchiole within lesion surgical resection specimen inflated agar sectioned transversely correlate gross morphology histologic section ct appearance air bronchogram air bronchiologram seen tumor ct scan histologic section benign nodule patent bronchus bronchiole ct scan histologic section one case finding suggest presence air bronchogram lung nodule useful finding help differentiate adenocarcinoma benign lesion
morphine,Medical,Medical,2023-10-08,spinal administration morphine cancer pain retrospective study record patient treated spinal morphine via implanted reviewed case implanted epidural delivery morphine patient pain patient treated mean range day wide variation dose requirement minimum daily dose ranging mg maximum daily dose however clear trend increasing dose period epidural morphine administration increased frequent complication pain injection incidence occlusion portal system infection leakage administered morphine reach epidural space case infection limited area around portal along catheter track infection resolved without sequela following removal portal administration antibiotic patient implanted intrathecal delivery morphine control pain patient also exhibited wide variation morphine dose requirement also implanted delivery spinal morphine patient chronic pain related cancer failed respond therapy patient treated mean range day removed patient primarily due infection case inadequate pain relief pain injection case
reading,Medical,Medical,2023-10-08,ultrasound detection deep venous thrombosis purpose accurate diagnosis deep venous thrombosis dvt clinical problem emergency practice prospective trial conducted comparing ultrasound contrast venography diagnosis proximal dvt method seventy patient whose clinical presentation mandated diagnostic evaluation dvt ultrasound involved leg followed contrast venography initial reading ultrasound venography compared final reading as reliability interpretation result final ultrasound reading agreed final venogram reading patient negative initial ultrasound reading agreed final venogram reading patient negative predictive value confidence interval eighteen patient positive initial ultrasound reading compared positive final venogram reading positive predictive value confidence interval conclusion negative ultrasonography reliably excludes proximal dvt positive ultrasound reliably diagnosis proximal dvt experienced hand
cardiac,Medical,Medical,2023-10-08,versus pacing comparison cardiac output previous study shown pacing improves exercise tolerance patient chronotropic incompetence however pacing number inherent problem limit usefulness although pacing largely obviates problem inherent pacing physiologic benefit pacing yet demonstrated accordingly purpose study compare cardiac output patient chronotropic incompetence programming pacemaker either simulated single simulated mode cardiac output measured noninvasively rest peak exercise using standard measurement obtained blinded fashion rest resting vvi ddd cardiac output respectively peak exercise ddd cardiac output whereas simulated activity vvi ddd cardiac output respectively analysis variance showed overall significant difference cardiac output rest peak exercise p le however simulated activity ddd cardiac output significantly different respective control value p le thus study show first time addition rate responsiveness pacing result significant improvement cardiac output patient chronotropic incompetence
cell,Medical,Medical,2023-10-08,fdp induces secretion plasminogen activator plasminogen activator human promonocytic leukemia cell line studied effect fibrinogen degradation product e human promonocytic leukemia cell line exposure fragment cell displayed characteristic adherence plastic surface showed approximately twofold increase response nitroblue tetrazolium reduction test secretion alpha alpha medium markedly stimulated fragment e whereas significant increase beta secretion observed cell addition induced rapid increase plasminogen activator day v control culture slow increase plasminogen activator day v control culture increase tissue factor tf also demonstrated cell surface cell exposed fragment indirect immunofluorescence using monoclonal antibody scatchard plot analysis showed fragment bound cell kd respectively result suggest fragment specifically stimulates cell lineage secrete key substance regulate blood coagulation fibrinolysis inflammation
cyst,Medical,Medical,2023-10-08,stereotactic management colloid cyst factor predicting success stereotactic aspiration valuable surgical alternative colloid cyst used alone conjunction microsurgical resection since author performed computerized tomography ct stereotactic aspiration initial procedure patient colloid cyst stereotactic aspiration alone successful patient patient aspiration failed stereotactic endoscopic resection attempted three successful one seven patient required craniotomy microsurgical removal cyst performed via transcortical approach preoperative ct appearance eight case hypodense isodense cyst correlated favorably successful aspiration cyst six patient hyperdense appearance preoperative ct scan case associated subtotal aspiration patient five required craniotomy removal preoperative magnetic resonance mr imaging eight patient provided excellent anatomical definition cyst relationship structure third ventricle possible correlate successful aspiration cyst appearance mr image short long relaxation time sequence author experience suggests preoperative ct study accurately determine size predict viscosity help define group colloid cyst patient stereotactic cyst aspiration likely successful unsuccessful stereotactic aspiration related two feature high viscosity intracystic colloid material nine patient deviation cyst away aspiration needle due small cyst volume two patient simplicity low risk stereotactic surgery offered selected patient initial procedure choice craniotomy reserved whose imaging study predict failure whose cyst aspirated
patient,Medical,Medical,2023-10-08,cranial magnetic resonance imaging chronic demyelinating polyneuropathy twenty one patient chronic inflammatory demyelinating polyradiculoneuropathy cidp five patient chronic demyelinating polyneuropathy associated benign monoclonal paraproteinaemia none sign symptom central nervous system disease cranial magnetic resonance imaging mri tesla unit area increased white matter signal intensity seen one patient aged le year five patient aged year two patient neither paraproteinaemia appearance strongly suggest demyelination clinical variable predicted mri change age p le
group,Medical,Medical,2023-10-08,bleeding pattern continuous combined therapy bleeding climacteric symptom recorded two group postmenopausal woman receiving either continuous combined estradiol norethisterone acetate estradiol cyproterone acetate sample postmenopausal woman aged year completed study comparison bleeding pattern two group revealed statistically significant difference woman acetate group experienced bleeding longer duration thirteen woman acetate group amenorrheic compared two group kupperman index score group declined initial value p le hot flush treatment group decreased highly significant degree p le value baseline value conclude continuous combination estrogen progestogen produce amenorrhea symptomatic relief however progestogen component seem differ ability control bleeding
lysophosphatidylcholine,Medical,Medical,2023-10-08,impaired hepatic handling processing lysophosphatidylcholine rat liver cirrhosis lysophosphatidylcholine major metabolic product plasma cellular turnover phospholipid proinflammatory property liver play key role plasma lysophosphatidylcholine removal biotransformation virtually nothing known process diseased organ hepatobiliary metabolism lysophosphatidylcholine investigated rat carbon liver cirrhosis twelve adult male wistar rat histologically confirmed cirrhosis control animal fitted jugular biliary catheter allowed recover animal kept constant iv infusion taurocholate two microcuries administered single bolus fate injected radioactivity including removal plasma uptake subcellular location liver molecular aggregative form studied combined chromatographic radiochemical method major finding lysophosphatidylcholine prolonged permanence plasma cirrhotic rat due decreased hepatic clearance depressed conversion phosphatidylcholine b rate lysophosphatidylcholine acylation much slower cirrhotic normal liver microsomal cytosolic level c cytosolic lysophosphatidylcholine cirrhotic liver normal liver predominantly bound strict molecular selectivity lysophosphatidylcholine acylation observed control partially lost cirrhosis e consistent fraction lysophosphatidylcholine converted triacylglycerols cirrhotics control finding show profound derangment lysophosphatidylcholine handling processing cirrhotic liver potential pathogenetic significance
node,Medical,Medical,2023-10-08,value single versus multiple section detection lymph node metastasis study undertaken determine value serial sectioning lymph node aid optimally examining cervical specimen metastasis presence absence lymph node metastasis lymph node obtained consecutive neck dissection specimen initially determined routine method examination one section node examination revealed lymph node metastatic involvement study lymph node initially interpreted free tumor serial sectioning added two positive node thus serial sectioning contribute significantly detection lymph node metastasis
plasma,Medical,Medical,2023-10-08,cytotoxic activity plasma patient amyotrophic lateral sclerosis present study evaluates assay cytotoxic effect plasma patient amyotrophic lateral sclerosis plasma recently diagnosed al patient induced hemolysis normal red blood cell significantly greater intensity normal control least month treatment prednisone azathioprine hemolytic activity al plasma reduced still higher control plasma
disease,Medical,Medical,2023-10-08,multiple giant cell tumor paget disease bone radiographic clinical correlation clinical radiographic finding four patient multicentric giant cell tumor gct bone paget disease retrospectively reviewed three patient underwent magnetic resonance mr imaging evaluation patient underwent computed tomography ct mr characteristic bone component pagetic gct appeared reflect pagetic phase sclerotic pattern largely represented hypointense marrow signal intensity image obtained long short repetition time trs echo time te conversely tumor appearing mixed pagetic phase demonstrated heterogeneous signal intensity pulse sequence extensive component noted case showed largely intermediate signal intensity short image focus increased signal intensity longer image case dramatic reduction tumor bulk noted use steroid alone awareness entity important appearance lytic lesion extension patient paget disease necessarily imply grave prognosis serial ct mr imaging helpful monitoring remission exacerbation reflect response therapy paget disease gct
disc,Medical,Medical,2023-10-08,magnetic resonance assessment postoperative spine degenerative disc disease magnetic resonance mr imaging finding patient surgery degenerative disc disease lumbar cervical spine discussed lumbar spine change seen immediate postoperative period use distinguishing scar disc postoperative complication reviewed cervical spine operative approach type appearance bony stenosis disc herniation demonstrated
stricture,Medical,Medical,2023-10-08,urethroplasty using pedicled island flap technique complicated urethral stricture many technique described repair recurrent urethral stricture experience correction hypospadias epispadias using vascularized island flap technique led increased application complicated adult urethral stricture advantage vascularized island flap technique reconstruction completed operation provides good subjective objective result analysis consecutive case treated approach proved validity case fistula occurred required surgical correction stricture recurred largest proportion recurrence noted patient primarily treated urethrotomies within short time therefore recommend open surgical repair internal urethrotomies fail produce good result
patient,Medical,Medical,2023-10-08,bullous pemphigoid autoantibody infection pruritic papular eruption bullous pemphigoid bp autoantibody found western blot wb analysis epidermal extract serum patient compared patient chronic pruritus patient bp identified bp autoantibody bpab immunoprecipitation immunoelectron microscopy incidence increased hiv infection stage ii stage iii iv respectively patient suffering chronic pruritic papulovesicular eruption showed circulating bpab compared without skin problem p among met diagnostic criterion bp histology wb immunofluorescence immunoelectron microscopy technique used conclusion study identifies autoimmune skin reaction may account related distressing pruritic eruption occurring patient
dna,Medical,Medical,2023-10-08,molecular characterization region dna associated mutation agouti locus mouse molecular characterization agouti mutation resulted isolation segment dna map near locus chromosome mouse region dna deleted several mutation associated specific dna structural alteration two viable mutation propose dna probe region chromosome useful ultimately characterizing individual gene gene associated function
content,Medical,Medical,2023-10-08,fatty acid human platelet plasma fish oil decrease sensitivity toward microbubbles platelet aggregation induced microbubbles simulating microbubbles developed deep diving measured seven volunteer intake wk relative content arachidonic acid aa decreased platelet individual whereas content epa dha increased decrease aa almost identical increase epa plus dha plasma aa content unchanged epa dha increased aggregation showed significant negative correlation dha content platelet plasma le aggregation also observed high epa content platelet plasma significant correlation aa content platelet aggregation seen intake marine oil may beneficial diver deep diving patient extracorporeal circulation may reduce aggregation
patient,Medical,Medical,2023-10-08,midventricular obstruction associated chronic systemic hypertension severe left ventricular hypertrophy midventricular obstruction uncommon finding previously defined catheterization angiographic technique patient hypertrophic cardiomyopathy study describes clinical echocardiographic finding consecutive patient mean age year severe concentric left ventricular lv hypertrophy unusual finding dynamic systolic obstruction located midportion left ventricle patient known chronic hypertension none history family history hypertrophic cardiomyopathy case high velocity turbulent jet identified doppler color flow imaging subsequently confirmed conventional doppler technique septal posterior wall thickness averaged cm respectively mean lv mass index ejection fraction averaged peak systolic velocity obtained doppler averaged appeared either spike dome configuration seven patient gave history syncope severe presyncope time echocardiographic examination mean year syncope presyncope resolved patient medication adjusted based ultrasound study persisted patient diuretic therapy continued concluded obstruction systolic flow occur level patient severe concentric lv hypertrophy avoidance medication known lower lv volume may relieve symptom transient inadequate cardiac output
type,Medical,Medical,2023-10-08,impact nonidentical abo cadaveric renal transplantation waiting time graft survival blood type recipient cadaveric renal transplant longer pretransplant waiting period blood type b ab recipient evaluate reason consequence discrepancy studied frequency various donor recipient blood type combination outcome among cadaveric renal transplant performed transplant received patient compatible nonidentical blood type type donor organ received type patient recipient donor ratio corresponding ratio greater blood type blood type type b type ab cause blood type patient lower access transplantation significantly longer waiting time patient blood type inequality access diminished significantly p le year resolve analysis relative risk first graft loss multiple regression cox showed transplantation across compatible blood type higher risk p le transplantation among identical blood type cadaveric renal transplantation within identical blood type optimizes access transplantation avoids aggravating past disadvantage blood type recipient
patient,Medical,Medical,2023-10-08,result recently instituted programme thrombolytic therapy acute lower limb ischaemia patient acute lower limb ischaemia received low dose thrombolytic therapy period eighteen patient received streptokinase ten patient received recombinant tissue plasminogen activator rtpa indication included arterial thromboemboli graft failure mean ischaemic time similar group treatment time achieve lysis significantly le rtpa p le subsequent vascular procedure including angioplasty reconstruction undertaken per cent patient arterial puncture site bleeding occurred eight per cent patient three per cent patient suffered rethrombosis initial successful lysis rethromboses successfully lysed rtpa two major amputation five per cent patient died lytic failure streptokinase treatment group cerebral haemorrhagic event patient died result thrombolytic therapy good clinical outcome obtained nine patient treated streptokinase nine ten patient treated rtpa thrombolysis provides effective therapy high rate limb salvage low mortality rate study suggests rtpa may effective agent causing le morbidity streptokinase
tachycardia,Medical,Medical,2023-10-08,metastatic melanoma heart presenting ventricular tachycardia intraventricular tumor adult uncommon association ventricular tachycardia even rare report case intracardiac metastatic melanoma woman presented syncope due ventricular tachycardia
myocardial,Medical,Medical,2023-10-08,risk stratification myocardial infarction clinical overview many patient acute myocardial infarction stratified subgroup high risk morbidity mortality basis clinical characteristic indicate recurrent myocardial ischemia persistent left ventricular dysfunction recurrent cardiac arrhythmia patient uncomplicated myocardial infarction assessment symptom physical finding ecg change predischarge exercise testing often identifies patient increased risk cardiac event suboptimum sensitivity specificity exercise ecg detecting myocardial ischemia myocardial perfusion imaging assessment global segmental ventricular function echocardiography radionuclide cineangiography immediately exercise often added predischarge risk stratification
vasculitis,Medical,Medical,2023-10-08,recurrent pericarditis cardiac tamponade patient hypocomplementemic urticarial vasculitis syndrome describe patient hypocomplementemic urticarial vasculitis syndrome complicated recurrent pericarditis cardiac tamponade episode pericarditis associated urticarial vasculitis hypocomplementemia circulating igg antibody region clq histopathologic examination skin pericardium demonstrated vasculitis associated immunoglobulin complement deposition suggesting immune complex mediated etiology recurrent pericarditis included clinical spectrum hypocomplementemic urticarial vasculitis syndrome
oxygen,Medical,Medical,2023-10-08,symptomatic benefit supplemental oxygen hypoxemic patient chronic lung disease compared symptomatic benefit air oxygen rest hypoxemic patient chronic obstructive airway disease coad interstitial lung disease ild total severely disabled patient coad mean sem mm hg ild mm hg received oxygen air venturi face mask gas two occasion randomized fashion increased p le group oxygen breathing coad versus ild versus patient coad stated air helped breathing occasion oxygen helped occasion p le patient ild value occasion respectively p le group patient severity breathlessness recorded visual analog scale significantly p le lower oxygen breathing coad versus ild versus ventilation measured magnetometer significantly lower oxygen breathing patient coad versus p le difference oxygen air patient ild statistically significant versus p greater
